gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dvt,ebit,lct,lt,ni,sale,seq,costat,prcc_c
004723,20211231,2021,INDL,C,D,STD,USB,USD,,573284.0000,48547.0000,1483.5020,2933.0000,13621.0000,,517897.0000,7963.0000,23714.0000,54918.0000,A,56.1700
004737,20211231,2021,INDL,C,D,STD,FHN,USD,,89092.0000,7679.0000,533.5770,369.0000,1947.0000,,80598.0000,999.0000,3255.0000,8199.0000,A,16.3300
004809,20211231,2021,INDL,C,D,STD,FLO,USD,746.1180,3253.3130,1411.2740,211.3950,175.6690,323.0090,519.9170,1842.0390,206.1870,4330.7670,1411.2740,A,27.4700
004818,20211231,2021,INDL,C,D,STD,FLR,USD,5562.6420,7279.5630,1392.4470,141.4350,24.3750,222.2440,3904.0600,5712.8820,-440.1700,12434.8790,1392.4530,A,24.7700
004839,20211231,2021,INDL,C,D,STD,F,USD,108996.0000,257035.0000,48519.0000,4004.2480,411.0000,7313.0000,90727.0000,208413.0000,17937.0000,136341.0000,48519.0000,A,20.7700
004881,20211231,2021,INDL,C,D,STD,FELE,USD,724.6470,1575.1650,946.5010,46.4830,32.6880,190.6140,396.0140,626.5220,153.8600,1661.8650,946.5010,A,94.5600
004885,20210930,2021,INDL,C,D,STD,BEN,USD,,24168.4000,11223.4000,501.8080,573.7000,2101.8000,,11424.8000,1831.2000,8400.2000,11223.4000,A,33.4900
004926,20211130,2021,INDL,C,D,STD,FUL,USD,1221.1700,4274.5300,1596.7690,52.7780,35.1980,288.4270,736.8500,2677.1700,161.3930,3278.0310,1596.7690,A,81.0000
004941,20211231,2021,INDL,C,D,STD,GATX,USD,,9541.7000,2019.2000,35.4220,73.7000,296.9000,,7522.5000,143.1000,1257.4000,2019.2000,A,104.1900
004973,20211231,2021,INDL,C,D,STD,AJG,USD,17670.4000,33345.0000,8508.4000,208.4540,396.2000,1454.0000,16735.0000,24784.9000,906.8000,8209.4000,8508.4000,A,169.6700
004988,20211231,2021,INDL,C,D,STD,TGNA,USD,787.5890,6917.6460,2519.9060,221.4060,78.4660,820.2580,375.1320,4381.6110,476.9550,2991.0930,2519.9060,A,18.5600
004990,20210131,2020,INDL,C,D,STD,GPS,USD,6008.0000,13769.0000,2614.0000,374.0000,91.0000,-461.0000,3884.0000,11155.0000,-665.0000,13800.0000,2614.0000,A,20.1900
005018,20211231,2021,INDL,C,D,STD,AJRD,USD,1236.6000,2433.6000,533.5000,80.1000,0.0000,280.5000,875.8000,1900.1000,143.7000,2188.0000,533.5000,A,46.7600
005046,20211231,2021,INDL,C,D,STD,GD,USD,19987.0000,50073.0000,17641.0000,277.6210,1335.0000,4163.0000,13978.0000,32432.0000,3257.0000,38469.0000,17641.0000,A,208.4700
005047,20211231,2021,INDL,C,D,STD,GE,USD,66348.0000,198874.0000,40304.0000,1099.0270,,4570.0000,51953.0000,157114.0000,-6519.0000,74196.0000,40310.0000,A,94.4700
005071,20210531,2020,INDL,C,D,STD,GIS,USD,5754.5000,31841.9000,9470.4000,607.7000,1246.4000,3368.2000,8265.8000,21463.8000,2339.8000,18127.0000,9470.4000,A,58.8000
005072,20211231,2021,INDL,C,D,STD,ALLY,USD,,182114.0000,14726.0000,337.9410,381.0000,4728.0000,,165064.0000,3060.0000,10694.0000,17050.0000,A,47.6100
